nombre,id_barrio,direccion,pilotes,propia,policia,hospital,latitud,longitud,comentarios
Sharei Sion,1,Helguera 453,1,1,Av. Chivilcoy 453,Aranguren 2701,"-58,4767609","-34,6263118",HOLA
Agudat Dodim,1,Av. Avellaneda 2874,1,1,Av. Chivilcoy 453,Aranguren 2701,"-58,4728009","-34,6263714",HOLA
